image_name,site,transect,boulder,cobble,green_algae_ulva,kelp_sugar,pebble,red_algae_branching,red_algae_filamentous,red_algae_flat_leaf,silt,kelp_bull_blade,kelp_five_rib,kelp_stipe,red_algae_bushy,unknown_area,Review,brown_algae_sargassum,red_algae_encrusting_CCA,sand_fine_shell,anthropogenic,kelp_holdfast,mobile_species,shell_hash,kelp_bryozoan,kelp_sieve
2024_10_08_11-46-30.jpg,Centennial_Park,6,0.04,0.04,0.52,0.14,0.14,0.04,0.02,0,0,0,0,0.04,0,0,0,0,0,0.02,0,0,0,0,0,0
2024_10_08_11-46-39.jpg,Centennial_Park,6,0.04,0,0.02,0.64,0.02,0.1,0.06,0.02,0,0,0,0,0,0.06,0,0.04,0,0,0,0,0,0,0,0
2024_10_08_11-46-48.jpg,Centennial_Park,6,0.02,0,0.48,0.24,0.1,0.06,0.02,0,0,0,0,0,0.04,0,0,0.02,0,0.02,0,0,0,0,0,0
2024_10_08_11-46-57.jpg,Centennial_Park,6,0.04,0.06,0.36,0.24,0.04,0.06,0,0.06,0,0,0,0.04,0,0,0,0,0.02,0.08,0,0,0,0,0,0
2024_10_08_11-47-06.jpg,Centennial_Park,6,0,0,0.62,0.14,0.02,0.06,0.04,0,0,0,0,0,0,0.04,0,0,0,0.06,0,0,0.02,0,0,0
2024_10_08_11-47-15.jpg,Centennial_Park,6,0.02,0,0.28,0.06,0.1,0.24,0.08,0.06,0,0,0,0,0.06,0,0,0.04,0,0.06,0,0,0,0,0,0
2024_10_08_11-47-24.jpg,Centennial_Park,6,0.02,0.02,0.42,0.16,0.12,0.1,0.04,0,0,0,0,0,0.04,0,0,0.02,0,0.06,0,0,0,0,0,0
2024_10_08_11-47-33.jpg,Centennial_Park,6,0,0.04,0.5,0,0.08,0.06,0.02,0.06,0,0,0.12,0,0,0.02,0,0,0,0.1,0,0,0,0,0,0
2024_10_08_11-47-42.jpg,Centennial_Park,6,0,0.02,0.36,0,0.14,0.14,0.06,0.02,0.06,0,0,0,0.14,0,0,0,0,0.06,0,0,0,0,0,0
2024_10_08_11-47-51.jpg,Centennial_Park,6,0,0.06,0.22,0,0.32,0,0.02,0.16,0,0,0.02,0,0,0,0,0,0,0.18,0.02,0,0,0,0,0
2024_10_08_11-48-00.jpg,Centennial_Park,6,0,0.06,0.06,0,0.08,0.06,0.14,0.38,0,0,0,0,0,0.04,0,0.1,0.02,0.04,0.02,0,0,0,0,0
2024_10_08_11-48-09.jpg,Centennial_Park,6,0.02,0.04,0.16,0,0.14,0.18,0.04,0.26,0.02,0,0,0,0.04,0,0,0,0,0.08,0.02,0,0,0,0,0
2024_10_08_11-48-18.jpg,Centennial_Park,6,0,0,0.2,0,0,0.22,0.3,0.02,0.04,0,0.04,0,0,0,0,0,0,0.16,0.02,0,0,0,0,0
2024_10_08_11-48-27.jpg,Centennial_Park,6,0,0.02,0.22,0,0.18,0,0,0,0.06,0,0,0,0.1,0.02,0,0.04,0,0.36,0,0,0,0,0,0
2024_10_08_11-48-36.jpg,Centennial_Park,6,0,0.02,0.12,0.06,0.12,0.02,0.06,0,0.04,0,0.18,0,0.16,0,0,0.1,0,0.12,0,0,0,0,0,0
2024_10_08_11-48-45.jpg,Centennial_Park,6,0,0,0.62,0,0.04,0.12,0.02,0.02,0.04,0,0,0,0.06,0.02,0,0,0,0.06,0,0,0,0,0,0
2024_10_08_11-48-54.jpg,Centennial_Park,6,0.02,0.02,0.64,0,0,0.22,0,0,0.02,0,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0
2024_10_08_11-49-03.jpg,Centennial_Park,6,0,0,0.22,0,0.12,0.06,0.04,0.14,0.02,0,0,0,0.06,0.02,0,0.2,0,0.12,0,0,0,0,0,0
2024_10_08_11-49-12.jpg,Centennial_Park,6,0,0,0.4,0.14,0.12,0.08,0.06,0,0,0,0,0,0.04,0.04,0,0,0,0.12,0,0,0,0,0,0
2024_10_08_11-49-21.jpg,Centennial_Park,6,0,0,0.6,0,0.04,0.14,0.02,0.06,0.04,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
2024_10_08_11-49-30.jpg,Centennial_Park,6,0,0,0.42,0.02,0.04,0.22,0.06,0.14,0,0,0,0,0,0.02,0,0,0,0.08,0,0,0,0,0,0
2024_10_08_11-49-39.jpg,Centennial_Park,6,0.02,0.06,0.3,0.16,0.12,0.04,0,0.06,0.02,0,0,0,0.02,0.02,0,0.02,0,0.16,0,0,0,0,0,0
2024_10_08_11-49-48.jpg,Centennial_Park,6,0,0,0.08,0.62,0.02,0.06,0,0.04,0,0,0,0,0,0.04,0,0,0,0.14,0,0,0,0,0,0
2024_10_08_11-49-57.jpg,Centennial_Park,6,0.02,0.04,0.02,0.22,0.12,0.02,0,0.02,0.02,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0
2024_10_08_11-50-06.jpg,Centennial_Park,6,0.04,0.04,0.28,0,0.24,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0.3,0,0,0,0.02,0,0
2024_10_08_11-50-15.jpg,Centennial_Park,6,0,0,0.02,0.32,0.08,0,0.08,0,0.06,0,0.06,0,0.04,0,0,0.02,0,0.28,0,0,0,0,0.04,0
2024_10_08_11-50-24.jpg,Centennial_Park,6,0.06,0,0.16,0.08,0.04,0,0,0.14,0.06,0,0,0,0.08,0,0,0,0,0.38,0,0,0,0,0,0
2024_10_08_11-50-33.jpg,Centennial_Park,6,0,0.04,0.06,0.14,0.12,0,0,0,0.08,0,0.2,0,0.04,0,0,0,0,0.24,0.02,0,0,0,0.06,0
2024_10_08_11-50-42.jpg,Centennial_Park,6,0.02,0.08,0.06,0.26,0.04,0.16,0.06,0.02,0.06,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0
2024_10_08_11-52-21.jpg,Centennial_Park,6,0.02,0,0.34,0.16,0.02,0.08,0.06,0.18,0.02,0,0,0,0,0.02,0,0.06,0,0.02,0,0,0.02,0,0,0
2024_10_08_11-52-30.jpg,Centennial_Park,6,0.02,0,0.32,0,0,0.06,0.04,0.02,0.1,0,0.28,0,0,0,0,0,0,0.16,0,0,0,0,0,0
2024_10_08_11-52-39.jpg,Centennial_Park,6,0.02,0,0.64,0.02,0.02,0.1,0.02,0.04,0.02,0,0,0,0.02,0,0,0,0,0.08,0.02,0,0,0,0,0
2024_10_08_11-52-48.jpg,Centennial_Park,6,0.02,0,0.38,0.06,0.1,0.12,0.06,0,0.02,0,0,0,0.04,0,0,0.1,0,0.1,0,0,0,0,0,0
2024_10_08_11-53-00.jpg,Centennial_Park,6,0.02,0.1,0.2,0.08,0.1,0.06,0.02,0.02,0.04,0,0,0,0.04,0,0,0,0,0.22,0.06,0,0.02,0.02,0,0
2024_10_08_11-53-09.jpg,Centennial_Park,6,0,0.04,0.26,0.16,0.04,0.18,0.02,0.02,0.08,0,0,0,0.02,0,0,0.08,0,0.06,0.04,0,0,0,0,0
2024_10_08_11-53-18.jpg,Centennial_Park,6,0.02,0,0.42,0,0,0.14,0.08,0.24,0,0,0,0,0.02,0,0,0,0,0.08,0,0,0,0,0,0
2024_10_08_11-53-27.jpg,Centennial_Park,6,0.02,0.04,0.26,0,0.18,0.14,0.08,0,0,0,0,0,0,0,0,0,0,0.2,0.04,0.02,0.02,0,0,0
2024_10_08_11-53-37.jpg,Centennial_Park,6,0,0,0.46,0,0,0.18,0.04,0.06,0,0,0,0,0.06,0.04,0,0.14,0,0.02,0,0,0,0,0,0
2024_10_08_11-53-46.jpg,Centennial_Park,6,0.06,0.02,0.24,0.06,0.08,0.06,0,0,0.12,0,0,0,0.06,0.02,0,0,0,0.26,0.02,0,0,0,0,0
2024_10_08_11-53-55.jpg,Centennial_Park,6,0,0,0.54,0.02,0.04,0.06,0,0,0.04,0,0,0,0.12,0,0,0.06,0,0.04,0.06,0,0.02,0,0,0
2024_10_08_11-54-04.jpg,Centennial_Park,6,0,0.06,0.4,0,0.04,0.08,0.04,0,0.06,0,0,0,0.02,0,0,0.12,0,0.12,0.06,0,0,0,0,0
2024_10_08_11-54-13.jpg,Centennial_Park,6,0,0,0.54,0.02,0.06,0.18,0.02,0.1,0,0,0,0,0,0,0,0,0,0.06,0.02,0,0,0,0,0
2024_10_08_11-54-22.jpg,Centennial_Park,6,0,0,0.7,0.04,0,0.18,0,0,0,0,0,0,0.02,0.04,0,0,0,0.02,0,0,0,0,0,0
2024_10_08_11-54-31.jpg,Centennial_Park,6,0,0.02,0.22,0.04,0.1,0.12,0,0,0.04,0,0.12,0,0.04,0,0,0.08,0,0.16,0,0,0.06,0,0,0
2024_10_08_11-54-40.jpg,Centennial_Park,6,0,0.04,0.12,0,0.22,0.06,0,0.04,0.06,0,0,0,0.02,0,0,0,0,0.36,0.06,0,0,0.02,0,0
2024_10_08_11-54-49.jpg,Centennial_Park,6,0.02,0.02,0.2,0,0.06,0.24,0.04,0.26,0,0,0,0,0,0,0,0,0,0.12,0.02,0,0.02,0,0,0
2024_10_08_11-54-58.jpg,Centennial_Park,6,0.04,0.02,0.32,0,0.06,0,0.04,0.28,0,0,0,0,0.06,0.04,0,0.04,0,0.1,0,0,0,0,0,0
2024_10_08_11-55-07.jpg,Centennial_Park,6,0.06,0,0.32,0,0.14,0.12,0,0.02,0.04,0,0,0,0,0.02,0,0,0,0.22,0.04,0,0.02,0,0,0
2024_10_08_11-55-16.jpg,Centennial_Park,6,0,0.06,0.22,0,0.1,0.04,0.02,0.12,0.06,0,0,0,0,0,0,0.26,0,0.1,0.02,0,0,0,0,0
2024_10_08_11-55-25.jpg,Centennial_Park,6,0,0,0.2,0,0.14,0.06,0.04,0,0,0,0,0,0.18,0.02,0,0.02,0,0.32,0.02,0,0,0,0,0
2024_10_08_11-55-34.jpg,Centennial_Park,6,0,0.02,0.32,0,0,0.16,0.08,0.1,0.02,0,0,0,0.04,0.02,0,0.16,0,0.04,0,0,0,0.04,0,0
2024_10_08_11-55-43.jpg,Centennial_Park,6,0.1,0.06,0.4,0,0.06,0.18,0.02,0.04,0.08,0,0,0,0.02,0,0,0,0,0.02,0,0,0.02,0,0,0
2024_10_08_11-55-52.jpg,Centennial_Park,6,0.04,0,0.3,0,0,0.12,0.12,0.04,0.16,0,0,0,0.12,0,0,0.02,0,0.08,0,0,0,0,0,0
2024_10_08_11-56-01.jpg,Centennial_Park,6,0,0.02,0.2,0.26,0.02,0.02,0.04,0.3,0,0,0,0,0.02,0,0,0,0,0.12,0,0,0,0,0,0
2024_10_08_11-56-10.jpg,Centennial_Park,6,0.04,0.02,0.2,0.48,0.1,0.02,0.02,0,0,0,0,0,0.08,0,0,0,0,0.04,0,0,0,0,0,0
2024_10_08_11-56-19.jpg,Centennial_Park,6,0.06,0.04,0.3,0.02,0.08,0.14,0.04,0.02,0.02,0,0.02,0.02,0.24,0,0,0,0,0,0,0,0,0,0,0
2024_10_08_11-56-28.jpg,Centennial_Park,6,0.08,0,0.5,0.1,0.16,0.12,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
2024_10_08_11-56-37.jpg,Centennial_Park,6,0.02,0,0.68,0,0.04,0.04,0,0.1,0,0,0,0,0.1,0,0,0,0,0.02,0,0,0,0,0,0
2024_10_08_11-56-46.jpg,Centennial_Park,6,0.02,0.08,0.44,0,0.08,0.1,0.08,0.02,0,0,0,0,0.02,0,0,0.06,0,0.04,0,0,0,0,0,0.06
2024_10_08_11-56-55.jpg,Centennial_Park,6,0.02,0.1,0.18,0.04,0.2,0.08,0.06,0.1,0.02,0,0,0,0.02,0.04,0,0.04,0,0.1,0,0,0,0,0,0
2024_10_08_11-57-04.jpg,Centennial_Park,6,0,0,0.62,0,0,0.18,0,0.02,0,0,0,0,0,0.02,0,0.06,0,0,0,0,0,0,0,0.1
2024_10_08_11-57-13.jpg,Centennial_Park,6,0,0,0.56,0,0.02,0.12,0.02,0.26,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
